County,Median Home Value,Median Annual Property Tax Payment,Average Effective Property Tax Rate
Hays,"$258,000","$6,011",2.33%
Hemphill,"$180,300","$1,902",1.05%
Henderson,"$120,700","$1,625",1.35%
Hidalgo,"$90,000","$1,959",2.18%
Hill,"$112,200","$1,700",1.52%
Hockley,"$92,900","$1,552",1.67%
Hood,"$208,700","$2,639",1.26%
Hopkins,"$119,600","$1,656",1.38%
Houston,"$107,500","$1,209",1.12%
Howard,"$103,500","$1,396",1.35%
Hudspeth,"$54,500",$639,1.17%
Hunt,"$135,800","$2,683",1.98%
Hutchinson,"$81,600","$1,388",1.70%
Irion,"$122,000","$1,379",1.13%
Jack,"$95,200","$1,702",1.79%
Jackson,"$110,100","$1,502",1.36%
Jasper,"$105,200","$1,212",1.15%
Jeff Davis,"$134,800","$1,351",1.00%
Jefferson,"$120,300","$2,268",1.89%
Jim Hogg,"$77,000",$736,0.96%
Jim Wells,"$76,900","$1,052",1.37%
Johnson,"$168,500","$3,134",1.86%
Jones,"$80,800","$1,238",1.53%
Karnes,"$109,500","$1,114",1.02%
Kaufman,"$195,400","$4,336",2.22%
Kendall,"$378,500","$4,870",1.29%
Kenedy,-,$253.00,
Kent,"$64,700",$253,0.39%
Kerr,"$193,900","$2,412",1.24%
Kimble,"$151,700","$1,795",1.18%
King,"$22,800",$508,2.23%
Kinney,"$82,000",$933.,1.14%
Kleberg,"$98,500","$1,830",1.86%
Knox,"$43,300",$848,1.96%
La Salle,"$108,500","$1,385",1.28%
Lamar,"$67,900",$854,1.26%
Lamb,"$166,500","$2,429",1.46%
Lampasas,"$84,000",$882,1.05%
Lavaca,"$171,000","$1,615",0.94%
Lee,"$162,800","$1,993",1.22%
Leon,"$120,300",$821,0.68%
Liberty,"$115,300","$1,751",1.52%
Limestone,"$115,400","$1,445",1.25%
Lipscomb,"$106,700","$1,545",1.45%
Live Oak,"$106,200",$915,0.86%
Llano,"$235,700","$2,124",0.90%
Lubbock,"$149,200","$3,032",2.03%
Lynn,"$89,900","$1,538",1.71%
Madison,"$96,300","$1,272",1.32%
Marion,"$152,700","$2,973",1.95%
Martin,"$111,300","$1,240",1.11%
Mason,"$113,200","$1,688",1.49%
Matagorda,"$98,200",$700,0.71%
Maverick,"$145,700","$1,491",1.02%
McCulloch,"$219,900","$1,919",0.87%
McLennan,"$128,100","$1,618",1.26%
McMullen,"$100,900","$1,494",1.48%
Medina,"$151,600","$2,062",1.36%
Menard,"$87,300","$1,344",1.54%
Midland,"$233,200","$3,303",1.42%
Milam,"$111,900","$1,495",1.34%
Mills,"$141,700","$1,287",0.91%
Mitchell,"$67,900","$1,326",1.95%
Montague,"$120,100","$1,419",1.18%
Montgomery,"$248,100","$5,065",2.04%
Moore,"$113,100","$1,533",1.36%
Morris,"$92,100",$999,1.08%
Motley,"$60,000",$680,1.13%
Nacogdoches,"$137,300","$1,401",1.02%
Navarro,"$109,700","$1,674",1.53%
Newton,"$80,700",$796,0.99%
Nolan,"$80,300","$1,317",1.64%
Nueces,"$148,100","$3,009",2.03%
Ochiltree,"$104,300","$1,523",1.46%
Oldham,"$103,800","$1,750",1.69%
Orange,"$116,100","$1,935",1.67%
Palo Pinto,"$115,700","$1,716",1.48%
Panola,"$117,000","$1,094",0.94%
Parker,"$236,300","$4,978",2.11%
Parmer,"$110,000","$1,587",1.44%
Pecos,"$106,000",$985,0.93%
Polk,"$125,500","$1,349",1.07%
Potter,"$97,000","$1,840",1.90%
Presidio,"$77,200",$992,1.28%
Rains,"$131,100","$1,577",1.20%
Randall,"$174,100","$3,128",1.80%
Reagan,"$98,300","$1,365",1.39%
Real,"$146,900","$1,323",0.90%
Red River,"$77,900","$1,069",1.37%
Reeves,"$91,600",$885,0.97%
Refugio,"$85,500","$1,232",1.44%
Roberts,"$134,200","$1,351",1.01%
Robertson,"$121,600","$1,290",1.06%
Rockwall,"$283,000","$6,061",2.14%
Runnels,"$85,200","$1,355",1.59%
Rusk,"$131,200","$1,397",1.06%
Sabine,"$99,900",$983,0.98%
San Augustine,"$75,500",$596,0.79%
San Jacinto,"$126,700","$1,538",1.21%
San Patricio,"$129,400","$2,977",2.30%
San Saba,"$119,400","$1,385",1.16%
Schleicher,"$80,900",$941,1.16%
Scurry,"$87,600","$1,376",1.57%
Shackelford,"$110,000","$1,634",1.49%
Shelby,"$81,800",$886,1.08%
Sherman,"$93,900","$1,708",1.82%
Smith,"$164,200","$2,550",1.55%
Somervell,"$205,800","$2,040",0.99%
Starr,"$76,900",$879,1.14%
Stephens,"$81,300","$1,249",1.54%
Sterling,"$75,000",$816,1.09%
Stonewall,"$53,200",$769,1.45%
Sutton,"$101,000","$1,748",1.73%
Swisher,"$78,600","$1,197",1.52%
Tarrant,"$209,600","$4,736",2.26%
Taylor,"$137,600","$2,263",1.64%
Terrell,"$81,400","$1,093",1.34%
Terry,"$78,500","$1,121",1.43%
Throckmorton,"$58,600",$871,1.49%
Titus,"$99,900","$1,487",1.49%
Tom Green,"$149,700","$2,168",1.45%
Travis,"$347,700","$6,783",1.95%
Trinity,"$87,500","$1,044",1.19%
Tyler,"$91,000","$1,069",1.17%
Upshur,"$153,800","$1,838",1.20%
Upton,"$78,900",$925,1.17%
Uvalde,"$103,000","$1,408",1.37%
Val Verde,"$105,400","$1,612",1.53%
Van Zandt,"$152,200","$1,751",1.15%
Victoria,"$152,900","$2,980",1.95%
Walker,"$160,100","$2,119",1.32%
Waller,"$222,700","$3,341",1.50%
Ward,"$98,700",$397,0.40%
Washington,"$193,000","$2,669",1.38%
Webb,"$135,000","$2,982",2.21%
Wharton,"$148,700","$2,144",1.44%
Wheeler,"$83,600","$1,297",1.55%
Wichita,"$103,200","$2,053",1.99%
Wilbarger,"$73,200","$1,256",1.72%
Willacy,"$62,100","$1,015",1.63%
Williamson,"$282,700","$6,507",2.30%
Wilson,"$210,600","$2,886",1.37%
Winkler,"$82,800",$921,1.11%
Wise,"$178,200","$3,074",1.73%
Wood,"$151,400","$1,672",1.10%
Yoakum,"$152,900","$1,617",1.06%
Young,"$122,100","$1,712",1.40%
Zapata,"$88,700",$912,1.03%
Zavala,"$59,400",$935,1.57%
